Truth id,Truth size,Detected id,Detected size,Recall,Truth left,intersect,Detected left
1,20,289,3,0.045455,19,1,2
2,20,307,3,0.045455,19,1,2
3,20,282,3,0.045455,19,1,2
4,20,290,3,0.045455,19,1,2
5,20,1,34,0.058824,17,3,31
6,20,282,3,0.045455,19,1,2
7,20,264,3,0.045455,19,1,2
8,20,38,23,0.048780,18,2,21
9,20,14,30,0.063830,17,3,27
10,20,284,3,0.045455,19,1,2
11,20,316,3,0.045455,19,1,2
12,20,309,3,0.045455,19,1,2
13,20,273,3,0.045455,19,1,2
14,20,39,22,0.050000,18,2,20
15,20,275,3,0.045455,19,1,2
16,20,272,3,0.045455,19,1,2
17,20,260,4,0.043478,19,1,3
18,20,332,3,0.045455,19,1,2
19,20,240,4,0.043478,19,1,3
20,20,263,3,0.045455,19,1,2
21,20,83,9,0.074074,18,2,7
22,20,100,7,0.080000,18,2,5
23,20,286,3,0.045455,19,1,2
24,20,14,30,0.063830,17,3,27
25,20,315,3,0.045455,19,1,2
26,20,276,3,0.045455,19,1,2
27,20,292,3,0.045455,19,1,2
28,20,84,9,0.074074,18,2,7
29,20,289,3,0.045455,19,1,2
30,20,339,3,0.045455,19,1,2
31,20,277,3,0.045455,19,1,2
32,20,305,3,0.045455,19,1,2
33,20,280,3,0.045455,19,1,2
34,20,292,3,0.045455,19,1,2
35,20,285,3,0.045455,19,1,2
36,20,236,4,0.090909,18,2,2
37,20,263,3,0.045455,19,1,2
38,20,309,3,0.045455,19,1,2
39,20,287,3,0.045455,19,1,2
40,20,297,3,0.045455,19,1,2
41,20,37,24,0.047619,18,2,22
42,20,333,3,0.045455,19,1,2
43,20,294,3,0.045455,19,1,2
44,20,319,3,0.045455,19,1,2
45,20,278,3,0.045455,19,1,2
46,20,266,3,0.045455,19,1,2
47,20,323,3,0.045455,19,1,2
48,20,301,3,0.045455,19,1,2
49,20,291,3,0.045455,19,1,2
50,20,51,14,0.062500,18,2,12
51,20,89,8,0.076923,18,2,6
52,20,270,3,0.045455,19,1,2
53,20,290,3,0.045455,19,1,2
54,20,79,10,0.071429,18,2,8
55,20,56,13,0.064516,18,2,11
56,20,229,4,0.043478,19,1,3
57,20,287,3,0.045455,19,1,2
58,20,100,7,0.080000,18,2,5
59,20,279,3,0.045455,19,1,2
60,20,276,3,0.045455,19,1,2
61,20,281,3,0.045455,19,1,2
62,20,336,3,0.045455,19,1,2
63,20,295,3,0.045455,19,1,2
64,20,285,3,0.045455,19,1,2
65,20,271,3,0.045455,19,1,2
66,20,271,3,0.045455,19,1,2
67,20,64,12,0.066667,18,2,10
68,20,257,4,0.043478,19,1,3
69,20,320,3,0.045455,19,1,2
70,20,269,3,0.045455,19,1,2
71,20,275,3,0.045455,19,1,2
72,20,211,4,0.043478,19,1,3
73,20,331,3,0.095238,18,2,1
74,20,344,3,0.045455,19,1,2
75,20,231,4,0.090909,18,2,2
76,20,107,7,0.080000,18,2,5
77,20,272,3,0.045455,19,1,2
78,20,36,26,0.045455,18,2,24
79,20,247,4,0.043478,19,1,3
80,20,206,4,0.043478,19,1,3
81,20,270,3,0.045455,19,1,2
82,20,268,3,0.045455,19,1,2
83,20,283,3,0.045455,19,1,2
84,20,256,4,0.043478,19,1,3
85,20,325,3,0.045455,19,1,2
86,20,37,24,0.047619,18,2,22
87,20,261,4,0.043478,19,1,3
88,20,296,3,0.045455,19,1,2
89,20,281,3,0.045455,19,1,2
90,20,280,3,0.045455,19,1,2
91,20,269,3,0.045455,19,1,2
92,20,281,3,0.045455,19,1,2
93,20,297,3,0.045455,19,1,2
94,20,251,4,0.043478,19,1,3
95,20,277,3,0.045455,19,1,2
96,20,299,3,0.045455,19,1,2
97,20,247,4,0.043478,19,1,3
98,20,76,10,0.071429,18,2,8
99,20,276,3,0.045455,19,1,2
100,20,279,3,0.045455,19,1,2
Weighted Average,0.050283
Average,0.050283
