Detected id,Detected size,Truth id,Truth size,Precision,intersect
1,34,5,20,0.088235,3
2,31,39,20,0.064516,2
3,30,96,20,0.066667,2
4,30,77,20,0.066667,2
5,30,85,20,0.066667,2
6,30,82,20,0.066667,2
7,30,28,20,0.066667,2
8,30,31,20,0.066667,2
9,30,86,20,0.066667,2
10,30,74,20,0.066667,2
11,30,28,20,0.066667,2
12,30,75,20,0.066667,2
13,30,19,20,0.066667,2
14,30,9,20,0.100000,3
15,30,97,20,0.033333,1
16,30,100,20,0.033333,1
17,30,98,20,0.066667,2
18,30,100,20,0.066667,2
19,30,60,20,0.066667,2
20,30,76,20,0.066667,2
21,30,69,20,0.066667,2
22,30,93,20,0.066667,2
23,30,57,20,0.066667,2
24,30,45,20,0.066667,2
25,30,70,20,0.066667,2
26,30,79,20,0.066667,2
27,30,98,20,0.033333,1
28,30,59,20,0.066667,2
29,29,82,20,0.068966,2
30,29,54,20,0.068966,2
31,29,47,20,0.068966,2
32,29,82,20,0.068966,2
33,29,77,20,0.068966,2
34,28,72,20,0.071429,2
35,28,67,20,0.107143,3
36,26,78,20,0.076923,2
37,24,86,20,0.083333,2
38,23,8,20,0.086957,2
39,22,14,20,0.090909,2
40,19,88,20,0.052632,1
41,18,94,20,0.055556,1
42,18,94,20,0.055556,1
43,17,95,20,0.058824,1
44,17,83,20,0.058824,1
45,16,4,20,0.062500,1
46,16,18,20,0.062500,1
47,15,86,20,0.066667,1
48,15,92,20,0.066667,1
49,15,100,20,0.066667,1
50,14,95,20,0.071429,1
51,14,50,20,0.142857,2
52,14,100,20,0.071429,1
53,14,86,20,0.071429,1
54,14,94,20,0.071429,1
55,13,15,20,0.076923,1
56,13,55,20,0.153846,2
57,13,1,20,0.076923,1
58,12,92,20,0.083333,1
59,12,99,20,0.083333,1
60,12,99,20,0.083333,1
61,12,93,20,0.083333,1
62,12,99,20,0.083333,1
63,12,98,20,0.083333,1
64,12,67,20,0.166667,2
65,12,98,20,0.083333,1
66,11,21,20,0.090909,1
67,11,10,20,0.090909,1
68,11,4,20,0.090909,1
69,11,45,20,0.090909,1
70,11,11,20,0.090909,1
71,11,30,20,0.090909,1
72,11,5,20,0.090909,1
73,10,38,20,0.100000,1
74,10,9,20,0.100000,1
75,10,1,20,0.100000,1
76,10,98,20,0.200000,2
77,10,15,20,0.100000,1
78,10,12,20,0.100000,1
79,10,54,20,0.200000,2
80,9,85,20,0.111111,1
81,9,90,20,0.111111,1
82,9,97,20,0.111111,1
83,9,21,20,0.222222,2
84,9,28,20,0.222222,2
85,9,60,20,0.111111,1
86,9,85,20,0.111111,1
87,9,92,20,0.111111,1
88,8,4,20,0.125000,1
89,8,51,20,0.250000,2
90,8,2,20,0.125000,1
91,8,3,20,0.125000,1
92,8,3,20,0.125000,1
93,8,29,20,0.125000,1
94,8,10,20,0.125000,1
95,8,16,20,0.125000,1
96,8,23,20,0.125000,1
97,8,5,20,0.125000,1
98,8,4,20,0.125000,1
99,7,99,20,0.142857,1
100,7,58,20,0.285714,2
101,7,94,20,0.142857,1
102,7,93,20,0.142857,1
103,7,100,20,0.142857,1
104,7,97,20,0.142857,1
105,7,82,20,0.142857,1
106,7,77,20,0.142857,1
107,7,76,20,0.285714,2
108,7,91,20,0.142857,1
109,7,50,20,0.142857,1
110,7,94,20,0.142857,1
111,7,97,20,0.142857,1
112,7,96,20,0.142857,1
113,7,96,20,0.142857,1
114,7,93,20,0.142857,1
115,7,92,20,0.142857,1
116,7,96,20,0.142857,1
117,7,97,20,0.142857,1
118,7,6,20,0.142857,1
119,6,62,20,0.166667,1
120,6,84,20,0.166667,1
121,6,34,20,0.166667,1
122,6,81,20,0.166667,1
123,6,59,20,0.166667,1
124,6,79,20,0.166667,1
125,6,99,20,0.166667,1
126,6,81,20,0.166667,1
127,6,64,20,0.166667,1
128,6,93,20,0.166667,1
129,6,72,20,0.166667,1
130,6,81,20,0.166667,1
131,6,97,20,0.166667,1
132,6,97,20,0.166667,1
133,6,94,20,0.166667,1
134,6,91,20,0.166667,1
135,6,74,20,0.166667,1
136,6,66,20,0.166667,1
137,6,49,20,0.166667,1
138,6,84,20,0.166667,1
139,6,95,20,0.166667,1
140,6,96,20,0.166667,1
141,6,100,20,0.166667,1
142,6,31,20,0.166667,1
143,6,88,20,0.166667,1
144,6,79,20,0.166667,1
145,6,92,20,0.166667,1
146,6,36,20,0.166667,1
147,5,19,20,0.200000,1
148,5,22,20,0.200000,1
149,5,25,20,0.200000,1
150,5,1,20,0.200000,1
151,5,27,20,0.200000,1
152,5,34,20,0.200000,1
153,5,2,20,0.200000,1
154,5,2,20,0.200000,1
155,5,17,20,0.200000,1
156,5,1,20,0.200000,1
157,5,39,20,0.200000,1
158,5,23,20,0.200000,1
159,5,26,20,0.200000,1
